cusip6,cik,name,cusip,form10KUrls
13100M,1406666,{'CALIX INC'},"{'13100M909', '13100M959', '13100M509'}",https://www.sec.gov/Archives/edgar/data/1406666/000140666623000026/0001406666-23-000026.txt
131193,837465,{'TOPGOLF CALLAWAY BRANDS CORP'},"{'131193904', '131193104', '131193954'}",https://www.sec.gov/Archives/edgar/data/837465/000083746523000006/0000837465-23-000006.txt
13123X,928022,{'CALLON PETE CO DEL'},"{'13123X508', '13123X908', '13123X958'}",https://www.sec.gov/Archives/edgar/data/928022/000092802223000017/0000928022-23-000017.txt
131476,1340122,"{'CALUMET SPECIALTY PRODS PART', 'CALUMET SPECIALTY PROD'}","{'131476903', '131476103'}",https://www.sec.gov/Archives/edgar/data/1340122/000134012223000034/0001340122-23-000034.txt
13173L,1705843,{'CALYXT INC'},{'13173L107'},https://www.sec.gov/Archives/edgar/data/1705843/000119312523058346/0001193125-23-058346.txt
13200M,1309082,{'CAMBER ENERGY INC'},"{'13200M907', '13200M957', '13200M607'}",https://www.sec.gov/Archives/edgar/data/1309082/000147793223001554/0001477932-23-001554.txt
132152,711772,{'CAMBRIDGE BANCORP'},{'132152109'},https://www.sec.gov/Archives/edgar/data/711772/000095017023008286/0000950170-23-008286.txt
133034,750686,{'CAMDEN NATL CORP'},{'133034108'},https://www.sec.gov/Archives/edgar/data/750686/000075068623000033/0000750686-23-000033.txt
134429,16732,{'CAMPBELL SOUP CO'},"{'134429109', '134429909', '134429959'}",https://www.sec.gov/Archives/edgar/data/16732/000001673223000109/0000016732-23-000109.txt
13462K,1669779,"{'CAMPING WORLD HLDGS INC', 'CAMPING WORLD HOLDINGS INC A'}","{'13462K909', '13462K109', '13462K959'}",https://www.sec.gov/Archives/edgar/data/1669779/000155837023001813/0001558370-23-001813.txt
13645T,16875,"{'CANADIAN PAC RY LTD', 'CANADIAN PAC RY LTD COM'}","{'13645T100', '13645T900', '13645t100', '13645T950'}",https://www.sec.gov/Archives/edgar/data/16875/000001687523000008/0000016875-23-000008.txt
13765N,1704720,"{'CANNAE HOLDINGS INC', 'CANNAE HLDGS INC'}","{'13765N107', '13765n107'}",https://www.sec.gov/Archives/edgar/data/1704720/000170472023000025/0001704720-23-000025.txt
13803R,1750153,{'CANOO INC'},"{'13803R952', '13803R102', '13803R902'}",https://www.sec.gov/Archives/edgar/data/1750153/000162828023009932/0001628280-23-009932.txt
139674,726601,{'CAPITAL CITY BK GROUP INC'},{'139674105'},https://www.sec.gov/Archives/edgar/data/726601/000072660123000009/0000726601-23-000009.txt
139737,1419536,{'CAPITAL BANCORP INC MD'},{'139737100'},https://www.sec.gov/Archives/edgar/data/1419536/000141953623000054/0001419536-23-000054.txt
14040H,927628,"{'CAPITAL ONE FINL CORP', 'CAPITAL ONE FINANCIAL CP'}","{'14040H905', '14040H105', '14040h105', '14040H955'}",https://www.sec.gov/Archives/edgar/data/927628/000092762823000117/0000927628-23-000117.txt
140475,1043000,{'SONIDA SENIOR LIVING INC'},{'140475203'},https://www.sec.gov/Archives/edgar/data/1043000/000162828023009942/0001628280-23-009942.txt
140501,17313,{'CAPITAL SOUTHWEST CORP'},"{'140501957', '140501107', '140501907'}",https://www.sec.gov/Archives/edgar/data/17313/000001731323000025/0000017313-23-000025.txt
14070B,1133869,{'CAPRICOR THERAPEUTICS INC'},{'14070B309'},https://www.sec.gov/Archives/edgar/data/1133869/000155837023004124/0001558370-23-004124.txt
14070T,1676479,{'CAPSTAR FINL HLDGS INC'},"{'14070T102', '14070t102'}",https://www.sec.gov/Archives/edgar/data/1676479/000095017023006036/0000950170-23-006036.txt
140755,1346830,{'CARA THERAPEUTICS INC'},"{'140755909', '140755109', '140755959'}",https://www.sec.gov/Archives/edgar/data/1346830/000155837023002913/0001558370-23-002913.txt
14147L,1213037,{'CARDIFF ONCOLOGY INC'},"{'14147L108', '14147L958'}",https://www.sec.gov/Archives/edgar/data/1213037/000162828023006037/0001628280-23-006037.txt
14149Y,721371,{'CARDINAL HEALTH INC'},"{'14149Y108', '14149y108', '14149Y958', '14149Y908'}",https://www.sec.gov/Archives/edgar/data/721371/000072137123000060/0000721371-23-000060.txt
14161W,1666071,{'CARDLYTICS INC'},"{'14161W105', '14161W905', '14161W955'}",https://www.sec.gov/Archives/edgar/data/1666071/000166607123000032/0001666071-23-000032.txt
14167L,1217234,"{'CareDx Inc', 'CAREDX INC'}","{'14167L103', '14167L953', '14167L903', '14167l103'}",https://www.sec.gov/Archives/edgar/data/1217234/000121723423000046/0001217234-23-000046.txt
14174T,1590717,"{'CARETRUST REIT INC REIT', 'CARETRUST REIT INC'}","{'14174T907', '14174T107', '14174t107'}",https://www.sec.gov/Archives/edgar/data/1590717/000162828023002955/0001628280-23-002955.txt
141788,1494259,{'CARGURUS INC'},"{'141788109', '141788909'}",https://www.sec.gov/Archives/edgar/data/1494259/000095017023005473/0000950170-23-005473.txt
142339,790051,{'CARLISLE COS INC'},{'142339100'},https://www.sec.gov/Archives/edgar/data/790051/000079005123000044/0000790051-23-000044.txt
14309L,1527166,{'CARLYLE GROUP L P COM UTS LTD PTN'},{'14309L102'},https://www.sec.gov/Archives/edgar/data/1527166/000152716623000014/0001527166-23-000014.txt
143130,1170010,{'CARMAX INC'},"{'143130952', '143130102', '143130902'}",https://www.sec.gov/Archives/edgar/data/1170010/000117001023000010/0001170010-23-000010.txt
14316J,1527166,"{'The Carlyle Group Inc.', 'CARLYLE GROUP INC'}","{'14316J108', '14316J908', '14316J958', '14316j108'}",https://www.sec.gov/Archives/edgar/data/1527166/000152716623000014/0001527166-23-000014.txt
143658,815097,"{None, 'CARNIVAL CORP'}","{'143658900', '143658BT8', '143658300', '143658950'}",https://www.sec.gov/Archives/edgar/data/815097/000081509723000012/0000815097-23-000012.txt
14365C,1125259,{'CARNIVAL PLC'},"{'14365C103', '14365C953', '14365C903'}",https://www.sec.gov/Archives/edgar/data/1125259/000081509723000012/0000815097-23-000012.txt
143905,1016281,{'CARRIAGE SVCS INC'},"{'143905907', '143905107'}",https://www.sec.gov/Archives/edgar/data/1016281/000101628123000045/0001016281-23-000045.txt
14427M,1378950,{'CARPARTS COM INC'},"{'14427M107', '14427M907'}",https://www.sec.gov/Archives/edgar/data/1378950/000137895023000012/0001378950-23-000012.txt
144285,17843,{'CARPENTER TECHNOLOGY CORP'},"{'144285103', '144285903'}",https://www.sec.gov/Archives/edgar/data/17843/000001784323000021/0000017843-23-000021.txt
14448C,1783180,"{'CARRIER GLOBAL CORPORATION', 'Carrier Global Corporation'}","{'14448c104', '14448C104', '14448C954', '14448C904'}",https://www.sec.gov/Archives/edgar/data/1783180/000178318023000012/0001783180-23-000012.txt
14574X,809248,{'CARROLS RESTAURANT GROUP INC'},{'14574X104'},https://www.sec.gov/Archives/edgar/data/809248/000080924823000041/0000809248-23-000041.txt
14575E,1683606,"{'CARS COM INC', 'Cars  Inc'}","{'14575e105', '14575E105', '14575E955', '14575E905'}",https://www.sec.gov/Archives/edgar/data/1683606/000095017023004093/0000950170-23-004093.txt
146103,1829576,{'CARTER BANKSHARES INC'},{'146103106'},https://www.sec.gov/Archives/edgar/data/1829576/000182957623000009/0001829576-23-000009.txt
146869,1690820,{'CARVANA CO'},"{'146869902', '146869952', '146869102'}",https://www.sec.gov/Archives/edgar/data/1690820/000169082023000052/0001690820-23-000052.txt
147448,911177,{'CASELLA WASTE SYSTEMS INC A'},{'147448104'},https://www.sec.gov/Archives/edgar/data/911177/000091117723000012/0000911177-23-000012.txt
147528,726958,{'CASEYS GEN STORES INC'},"{'147528103', '147528903'}",https://www.sec.gov/Archives/edgar/data/726958/000072695823000059/0000726958-23-000059.txt
14808P,708781,"{'CASS INFORMATION SYSTEMS INC', 'CASS INFORMATION SYS INC'}","{'14808p109', '14808P109'}",https://www.sec.gov/Archives/edgar/data/708781/000070878123000012/0000708781-23-000012.txt
14817C,1069530,{'CASSAVA SCIENCES INC'},"{'14817c107', '14817C107', '14817C957', '14817C907'}",https://www.sec.gov/Archives/edgar/data/1069530/000106953023000009/0001069530-23-000009.txt
14843C,1447362,{'CASTLE BIOSCIENCES INC'},{'14843C105'},https://www.sec.gov/Archives/edgar/data/1447362/000144736223000038/0001447362-23-000038.txt
148806,1596783,{'CATALENT INC'},"{'148806952', '148806102', '148806902'}",https://www.sec.gov/Archives/edgar/data/1596783/000159678323000185/0001596783-23-000185.txt
14888D,1124105,{'CATALYST BIOSCIENCES INC'},{'14888D208'},https://www.sec.gov/Archives/edgar/data/1124105/000156459023004830/0001564590-23-004830.txt
14888U,1369568,{'CATALYST PHARMACEUTICALS INC'},"{'14888U951', '14888U101', '14888U901'}",https://www.sec.gov/Archives/edgar/data/1369568/000119312523071299/0001193125-23-071299.txt
149123,18230,"{'CATERPILLAR INC', 'CATERPILLAR INC DEL'}","{'149123951', '149123101', '149123901'}",https://www.sec.gov/Archives/edgar/data/18230/000001823023000011/0000018230-23-000011.txt
149150,861842,{'CATHAY GEN BANCORP'},{'149150104'},https://www.sec.gov/Archives/edgar/data/861842/000143774923004952/0001437749-23-004952.txt
149205,18255,{'CATO CORP CLASS A'},{'149205106'},https://www.sec.gov/Archives/edgar/data/18255/000156276223000126/0001562762-23-000126.txt
149568,716133,{'CAVCO INDS INC DEL'},{'149568107'},https://www.sec.gov/Archives/edgar/data/716133/000095017023009198/0000950170-23-009198.txt
14986C,1117171,{'CBAK ENERGY TECHNOLOGY INC'},"{'14986C952', '14986C902', '14986C102'}",https://www.sec.gov/Archives/edgar/data/1117171/000121390023029933/0001213900-23-029933.txt
150185,811532,{'CEDAR FAIR L P'},"{'150185106', '150185906'}",https://www.sec.gov/Archives/edgar/data/811532/000081153223000047/0000811532-23-000047.txt
150602,761648,{'Cedar Realty Trust Inc'},{'150602605'},https://www.sec.gov/Archives/edgar/data/761648/000095017023005812/0000950170-23-005812.txt
150837,725363,{'CEL-SCI CORP'},{'150837607'},https://www.sec.gov/Archives/edgar/data/725363/000165495423015877/0001654954-23-015877.txt
150870,1306830,{'CELANESE CORP DEL'},"{'150870953', '150870903', '150870103'}",https://www.sec.gov/Archives/edgar/data/1306830/000130683023000023/0001306830-23-000023.txt
15102K,1603454,{'CELCUITY INC'},{'15102K100'},https://www.sec.gov/Archives/edgar/data/1603454/000149315223008724/0001493152-23-008724.txt
15117B,744218,"{'CELLDEX THERAPEUTICS INC', 'CELLDEX THERAPEUTICS INC NEW'}","{'15117B202', '15117B952', '15117B902'}",https://www.sec.gov/Archives/edgar/data/744218/000110465923026701/0001104659-23-026701.txt
15117F,1279704,{'CELLECTAR BIOSCIENCES INC'},{'15117F807'},https://www.sec.gov/Archives/edgar/data/1279704/000141057823000224/0001410578-23-000224.txt
15117N,749647,{'IMUNON INC'},{'15117N602'},https://www.sec.gov/Archives/edgar/data/749647/000149315223009604/0001493152-23-009604.txt
15118V,1341766,"{'CELSIUS HLDGS INC', 'Celsius Holdings, Inc.'}","{'15118V957', '15118v207', '15118V907', '15118V207'}",https://www.sec.gov/Archives/edgar/data/1341766/000095017023005612/0000950170-23-005612.txt
15135B,1071739,"{'CENTENE CORP DEL', 'Centene Corporation'}","{'15135b101', '15135B901', '15135B951', '15135B101'}",https://www.sec.gov/Archives/edgar/data/1071739/000107173923000047/0001071739-23-000047.txt
15189T,1130310,"{'CENTERPOINT ENERGY INC', 'CenterPoint Energy Inc'}","{'15189T107', '15189T907', '15189T957', '15189t107'}",https://www.sec.gov/Archives/edgar/data/1130310/000113031023000013/0001130310-23-000013.txt
15202L,798359,{'CENTERSPACE'},{'15202L107'},https://www.sec.gov/Archives/edgar/data/798359/000079835923000013/0000798359-23-000013.txt
153527,887733,"{'CENTRAL GARDEN & PET CO', 'CENTRAL GARDEN AND PET CO A'}","{'153527106', '153527205'}",https://www.sec.gov/Archives/edgar/data/887733/000088773323000017/0000887733-23-000017.txt
154760,701347,{'CENTRAL PACIFIC FINANCIAL CO'},{'154760409'},https://www.sec.gov/Archives/edgar/data/701347/000070134723000008/0000701347-23-000008.txt
155685,1127371,{'CENTRAL VY CMNTY BANCORP'},{'155685100'},https://www.sec.gov/Archives/edgar/data/1127371/000112737123000043/0001127371-23-000043.txt
156431,949157,{'CENTURY ALUM CO'},"{'156431108', '156431958', '156431908'}",https://www.sec.gov/Archives/edgar/data/949157/000094915723000023/0000949157-23-000023.txt
15643U,1065059,"{'Centrus Energy Corp', 'CENTRUS ENERGY CORP'}","{'15643U954', '15643U104', '15643U904'}",https://www.sec.gov/Archives/edgar/data/1065059/000106505923000009/0001065059-23-000009.txt
156492,911147,{'CENTURY CASINOS INC'},"{'156492100', '156492950'}",https://www.sec.gov/Archives/edgar/data/911147/000091114723000008/0000911147-23-000008.txt
156504,1576940,{'CENTURY CMNTYS INC'},"{'156504900', '156504300', '156504950'}",https://www.sec.gov/Archives/edgar/data/1576940/000157694023000005/0001576940-23-000005.txt
156700,18926,{'LUMEN TECHNOLOGIES INC COM'},{'156700106'},https://www.sec.gov/Archives/edgar/data/18926/000001892623000013/0000018926-23-000013.txt
156727,1768267,{'CERENCE INC'},"{'156727959', '156727909', '156727109'}",https://www.sec.gov/Archives/edgar/data/1768267/000095017023066654/0000950170-23-066654.txt
15677J,1725057,{'CERIDIAN HCM HLDG INC'},"{'15677J108', '15677J908', '15677J958'}",https://www.sec.gov/Archives/edgar/data/1725057/000095017023005559/0000950170-23-005559.txt
15678U,1805387,{'CEREVEL THERAPEUTICS HLDNG I'},"{'15678U958', '15678U128', '15678U908'}",https://www.sec.gov/Archives/edgar/data/1805387/000095017023003777/0000950170-23-003777.txt
15687V,1827090,{'CERTARA INC'},"{'15687v109', '15687V109'}",https://www.sec.gov/Archives/edgar/data/1827090/000155837023002605/0001558370-23-002605.txt
157085,1020214,{'CERUS CORP'},"{'157085951', '157085901', '157085101'}",https://www.sec.gov/Archives/edgar/data/1020214/000095017023005558/0000950170-23-005558.txt
157210,1173489,{'CEVA INC'},"{'157210105', '157210955'}",https://www.sec.gov/Archives/edgar/data/1173489/000143774923005106/0001437749-23-005106.txt
15870P,771856,{'CHAMPIONS ONCOLOGY INC'},{'15870P307'},https://www.sec.gov/Archives/edgar/data/771856/000162828023025464/0001628280-23-025464.txt
15872M,1723089,"{'CHAMPIONX CORPORATION', 'CHAMPIONX CORPORATION COM'}","{'15872M104', '15872M954', '15872m104', '15872M904'}",https://www.sec.gov/Archives/edgar/data/1723089/000172308923000011/0001723089-23-000011.txt
15957P,1730346,{'CHARAH SOLUTIONS INC'},"{'15957P303', '15957P105'}",https://www.sec.gov/Archives/edgar/data/1730346/000173034623000028/0001730346-23-000028.txt
15961R,1777393,{'CHARGEPOINT HOLDINGS INC'},"{'15961R955', '15961r105', '15961R905', '15961R105'}",https://www.sec.gov/Archives/edgar/data/1777393/000177739323000008/0001777393-23-000008.txt
159765,1015155,{'CHARLES & COLVARD LTD'},{'159765106'},https://www.sec.gov/Archives/edgar/data/1015155/000114036123048055/0001140361-23-048055.txt
159864,1100682,{'CHARLES RIV LABS INTL INC'},"{'159864107', '159864957', '159864907'}",https://www.sec.gov/Archives/edgar/data/1100682/000110068223000006/0001100682-23-000006.txt
16115Q,892553,"{None, 'CHART INDUSTRIES', 'CHART INDS INC', 'CHART INDUSTRIES INC'}","{'16115Q308', '16115Q958', '16115Q407', '16115q308', '16115Q908', '16115QAE0'}",https://www.sec.gov/Archives/edgar/data/892553/000089255323000043/0000892553-23-000043.txt
16117M,1091667,{'CHARTER COMMUNICATIONS INC D CL A'},{'16117M305'},https://www.sec.gov/Archives/edgar/data/1091667/000109166723000024/0001091667-23-000024.txt
16119P,1091667,"{'CHARTER COMMUNICATIONS INC', 'CHARTER COMMUNICATIONS CL A ORD', 'CHARTER COMMUNICATIONS INC N'}","{'16119P908', '16119P108', '16119p108', '16119P958'}",https://www.sec.gov/Archives/edgar/data/1091667/000109166723000024/0001091667-23-000024.txt
16150R,830524,{'CHASE CORP'},"{'16150R104', '16150r104'}",https://www.sec.gov/Archives/edgar/data/830524/000155837023018600/0001558370-23-018600.txt
162828,1651407,"{'Checkpoint Therapeutics', 'CHECKPOINT THERAPEUTICS INC'}","{'162828107', '162828206'}",https://www.sec.gov/Archives/edgar/data/1651407/000141057823000565/0001410578-23-000565.txt
163072,887596,{'CHEESECAKE FACTORY INC'},"{'163072951', '163072901', '163072101'}",https://www.sec.gov/Archives/edgar/data/887596/000110465923026072/0001104659-23-026072.txt
163086,1517175,{'CHEFS WHSE INC'},"{'163086101', '163086901', '163086951'}",https://www.sec.gov/Archives/edgar/data/1517175/000151717523000004/0001517175-23-000004.txt
163092,1364954,"{None, 'CHEGG INC'}","{'163092959', '163092AD1', '163092109', '163092909'}",https://www.sec.gov/Archives/edgar/data/1364954/000136495423000013/0001364954-23-000013.txt
163572,1092662,{'CHEMBIO DIAGNOSTICS INC'},{'163572209'},https://www.sec.gov/Archives/edgar/data/1092662/000114036123014526/0001140361-23-014526.txt
16359R,19584,"{'Chemed Corp', 'CHEMED CORP NEW'}","{'16359R103', '16359R903', '16359r103'}",https://www.sec.gov/Archives/edgar/data/19584/000156276223000057/0001562762-23-000057.txt
163851,1627223,"{'CHEMOURS CO', 'THE CHEMOURS COMPANY'}","{'163851108', '163851908', '163851958'}",https://www.sec.gov/Archives/edgar/data/1627223/000095017023002467/0000950170-23-002467.txt
16411Q,1383650,"{'CHENIERE ENERGY PARTNERS LP', 'Cheniere Energy Partners L.P.'}","{'16411Q951', '16411Q901', '16411q101', '16411Q101'}",https://www.sec.gov/Archives/edgar/data/1383650/000138365023000008/0001383650-23-000008.txt
16411R,3570,"{'CHENIERE ENERGY INC', 'Cheniere Energy Inc', 'Cheniere Energy, Inc.'}","{'16411R208', '16411R958', '16411r208', '16411R908'}",https://www.sec.gov/Archives/edgar/data/3570/000000357023000042/0000003570-23-000042.txt
164651,1571776,{'CHERRY HILL MTG INVT CORP'},{'164651101'},https://www.sec.gov/Archives/edgar/data/1571776/000114036123010492/0001140361-23-010492.txt
165167,895126,"{'CHESAPEAKE ENERGY CORP', 'Chesapeake Energy Corporation'}","{'165167905', '165167955', '165167735', '165167107'}",https://www.sec.gov/Archives/edgar/data/895126/000089512623000022/0000895126-23-000022.txt
165303,19745,{'CHESAPEAKE UTILS CORP'},{'165303108'},https://www.sec.gov/Archives/edgar/data/19745/000162828023004607/0001628280-23-004607.txt
166764,93410,"{'CHEVRON CORP NEW', 'Chevron Corporation'}","{'166764100', '166764950', '166764900'}",https://www.sec.gov/Archives/edgar/data/93410/000009341023000009/0000093410-23-000009.txt
16679L,1766502,"{'Chewy, Inc. Class A', 'CHEWY INC'}","{'16679L959', '16679L909', '16679L109'}",https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/0001766502-23-000011.txt
168088,19871,{'CHICAGO RIVET & MACH CO'},{'168088102'},https://www.sec.gov/Archives/edgar/data/19871/000119312523083675/0001193125-23-083675.txt
16842Q,1679063,"{'CHICKEN SOUP FOR THE SOUL EN', 'CHICKEN SOUP FOR THE SOUL ENTERTAINMENT INC'}","{'16842Q100', '16842Q950'}",https://www.sec.gov/Archives/edgar/data/1679063/000155837023005316/0001558370-23-005316.txt
168615,897429,{'CHICOS FAS INC'},"{'168615902', '168615952', '168615102'}",https://www.sec.gov/Archives/edgar/data/897429/000089742923000044/0000897429-23-000044.txt
168905,1041859,{'CHILDRENS PL INC NEW'},"{'168905107', '168905907', '168905957'}",https://www.sec.gov/Archives/edgar/data/1041859/000162828023009382/0001628280-23-009382.txt
168913,721693,{'SMART POWERR CORP'},{'168913309'},https://www.sec.gov/Archives/edgar/data/721693/000121390023037363/0001213900-23-037363.txt
16934Q,1409493,"{'CHIMERA INVT CORP', 'Chimera Investment Corp', 'CHIMERA INVESTMENT CORP', 'CHIMERA INVESTMENT CORPORATION'}","{'16934Q958', '16934Q908', '16934Q109', '16934q208', '16934Q208'}",https://www.sec.gov/Archives/edgar/data/1409493/000162828023003963/0001628280-23-003963.txt
16934W,1117480,{'CHIMERIX INC'},"{'16934W106', '16934W906'}",https://www.sec.gov/Archives/edgar/data/1117480/000111748023000006/0001117480-23-000006.txt
16936R,1157762,{'CHINA AUTOMOTIVE SYS INC'},"{'16936R105', '16936R955', '16936R905'}",https://www.sec.gov/Archives/edgar/data/1157762/000141057823000424/0001410578-23-000424.txt
16941T,1106644,{'CHINA PHARMA HLDGS INC'},{'16941T104'},https://www.sec.gov/Archives/edgar/data/1106644/000121390023024710/0001213900-23-024710.txt
16961L,1435049,{'CHINOOK THERAPEUTICS INC'},"{'16961L956', '16961L906', '16961L106'}",https://www.sec.gov/Archives/edgar/data/1435049/000156459023002589/0001564590-23-002589.txt
169656,1058090,"{'CHIPOTLE MEXICAN GRILL INC', 'CHIPOTLE MEX GRILL', 'CHIPOTLE MEXICAN GRILL INC CALL'}","{'169656105', '169656955', '169656104', '169656905'}",https://www.sec.gov/Archives/edgar/data/1058090/000105809023000010/0001058090-23-000010.txt
170386,803164,{'CHOICEONE FINL SVCS INC'},{'170386106'},https://www.sec.gov/Archives/edgar/data/803164/000143774923007584/0001437749-23-007584.txt
171077,1386570,{'CHROMADEX CORP'},{'171077407'},https://www.sec.gov/Archives/edgar/data/1386570/000162828023006968/0001628280-23-006968.txt
171340,313927,{'CHURCH & DWIGHT CO INC'},"{'171340902', '171340952', '171340102'}",https://www.sec.gov/Archives/edgar/data/313927/000095017023003066/0000950170-23-003066.txt
17143W,1828250,"{None, 'CHURCHILLCAPITALCORPVI-A'}","{'17143W119', '17143W101'}",https://www.sec.gov/Archives/edgar/data/1828250/000119312523090027/0001193125-23-090027.txt
17144M,1828248,"{None, 'CHURCHILLCAPITALCORPVII-A'}","{'17144M102', '17144M110'}",https://www.sec.gov/Archives/edgar/data/1828248/000141057823000285/0001410578-23-000285.txt
17144T,1812234,{'CHURCHILLCAPITALCORPV-A'},{'17144T107'},https://www.sec.gov/Archives/edgar/data/1812234/000119312523089907/0001193125-23-089907.txt
171484,20212,{'CHURCHILL DOWNS INC'},"{'171484108', '171484908'}",https://www.sec.gov/Archives/edgar/data/20212/000002021223000059/0000020212-23-000059.txt
171604,1524931,{'CHUYS HLDGS INC'},{'171604101'},https://www.sec.gov/Archives/edgar/data/1524931/000152493123000007/0001524931-23-000007.txt
171757,1610618,{'CIDARA THERAPEUTICS INC'},"{'171757107', '171757907'}",https://www.sec.gov/Archives/edgar/data/1610618/000161061823000021/0001610618-23-000021.txt
171779,936395,{'CIENA CORP'},"{'171779959', '171779309', '171779909'}",https://www.sec.gov/Archives/edgar/data/936395/000093639523000044/0000936395-23-000044.txt
172062,20286,{'CINCINNATI FINL CORP'},"{'172062901', '172062101', '172062951'}",https://www.sec.gov/Archives/edgar/data/20286/000002028623000008/0000020286-23-000008.txt
172406,1173204,{'CINEDIGM CORP - A'},{'172406209'},https://www.sec.gov/Archives/edgar/data/1173204/000095017023030833/0000950170-23-030833.txt
17243V,1385280,"{None, 'Cinemark Holdings Inc', 'CINEMARK HLDGS INC'}","{'17243V902', '17243V102', '17243V952', '17243VAB8', '17243v102'}",https://www.sec.gov/Archives/edgar/data/1385280/000095017023004235/0000950170-23-004235.txt
17259U,1534254,{'CION INVT CORP'},{'17259U204'},https://www.sec.gov/Archives/edgar/data/1534254/000153425423000004/0001534254-23-000004.txt
17273K,1091883,"{'Circor International Inc.', 'CIRCOR INTL INC'}","{'17273K109', '17273k109'}",https://www.sec.gov/Archives/edgar/data/1091883/000109188323000017/0001091883-23-000017.txt
17275R,858877,"{'CISCO SYS INC CALL', 'CISCO SYS INC'}","{'17275R103', '17275R902', '17275r102', '17275R952', '17275R102'}",https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/0000858877-23-000023.txt
172922,810958,{'CITIZENS & NORTHN CORP'},{'172922106'},https://www.sec.gov/Archives/edgar/data/810958/000155837023003990/0001558370-23-003990.txt
17306X,1318484,{'CITI TRENDS INC'},"{'17306X952', '17306X102', '17306X902'}",https://www.sec.gov/Archives/edgar/data/1318484/000155837023005840/0001558370-23-005840.txt
17322U,1506251,{'CITIUS PHARMACEUTICALS INC'},{'17322U207'},https://www.sec.gov/Archives/edgar/data/1506251/000121390023099889/0001213900-23-099889.txt
174610,759944,"{'CITIZENS FINL GROUP INC', 'Citizens Financial Group Inc', 'Citizens Finl GR  5 PFD PFD'}","{'174610905', '174610204', '174610402', '174610105', '174610955'}",https://www.sec.gov/Archives/edgar/data/759944/000075994423000029/0000759944-23-000029.txt
174615,739421,{'CITIZENS FINL SVCS INC'},{'174615104'},https://www.sec.gov/Archives/edgar/data/739421/000114036123010821/0001140361-23-010821.txt
174715,1075706,{'CITIZENS HLDG CO MISS'},{'174715102'},https://www.sec.gov/Archives/edgar/data/1075706/000143774923006793/0001437749-23-006793.txt
174740,24090,{'CITIZENS INC'},{'174740100'},https://www.sec.gov/Archives/edgar/data/24090/000002409023000027/0000024090-23-000027.txt
174903,1367859,{'CITIZENS CMNTY BANCORP INC M'},{'174903104'},https://www.sec.gov/Archives/edgar/data/1367859/000136785923000077/0001367859-23-000077.txt
177835,726854,{'CITY HLDG CO'},{'177835105'},https://www.sec.gov/Archives/edgar/data/726854/000072685423000015/0000726854-23-000015.txt
178587,1593222,{'CITY OFFICE REIT INC'},{'178587101'},https://www.sec.gov/Archives/edgar/data/1593222/000119312523045574/0001193125-23-045574.txt
17878Y,1590584,{'CIVEO CORP'},{'17878Y207'},https://www.sec.gov/Archives/edgar/data/1590584/000159058423000043/0001590584-23-000043.txt
18270P,913277,{'CLARUS CORP NEW'},"{'18270P109', '18270P959', '18270P909'}",https://www.sec.gov/Archives/edgar/data/913277/000110465923026079/0001104659-23-026079.txt
184496,822818,{'CLEAN HARBORS INC'},{'184496107'},https://www.sec.gov/Archives/edgar/data/822818/000082281823000015/0000822818-23-000015.txt
184499,1368265,{'CLEAN ENERGY FUELS CORP'},"{'184499901', '184499101', '184499951'}",https://www.sec.gov/Archives/edgar/data/1368265/000155837023002365/0001558370-23-002365.txt
18452B,827876,{'CLEANSPARK INC'},"{'18452B909', '18452B959', '18452B209'}",https://www.sec.gov/Archives/edgar/data/827876/000095017023067339/0000950170-23-067339.txt
18453H,1334978,"{'CLEAR CHANNEL OUTDOOR HLDGS', 'CLEAR CHANNEL OUTDOOR HOLDINGS'}","{'18453h106', '18453H106', '18453H906'}",https://www.sec.gov/Archives/edgar/data/1334978/000133497823000006/0001334978-23-000006.txt
18482P,796505,{'CLEARFIELD INC'},"{'18482P953', '18482P903', '18482P103'}",https://www.sec.gov/Archives/edgar/data/796505/000117184323007342/0001171843-23-007342.txt
185063,1539029,{'CLEARSIDE BIOMEDICAL INC'},"{'185063104', '185063904'}",https://www.sec.gov/Archives/edgar/data/1539029/000095017023007732/0000950170-23-007732.txt
185064,1434524,{'CLEARSIGN TECHNOLOGIES CORP'},{'185064102'},https://www.sec.gov/Archives/edgar/data/1434524/000155837023005285/0001558370-23-005285.txt
18506U,840715,{'CLEARONE INC'},{'18506U104'},https://www.sec.gov/Archives/edgar/data/840715/000175392623000346/0001753926-23-000346.txt
18538R,1441236,{'CLEARWATER PAPER CORP'},"{'18538R903', '18538R103'}",https://www.sec.gov/Archives/edgar/data/1441236/000150433723000008/0001504337-23-000008.txt
18539C,1567683,"{'CLEARWAY ENERGY INC A', 'Clearway Energy Inc.', 'Clearway Energy Inc'}","{'18539C105', '18539C204', '18539c204'}",https://www.sec.gov/Archives/edgar/data/1567683/000156768323000011/0001567683-23-000011.txt
185899,764065,"{'CLEVELAND-CLIFFS INC', 'CLEVELAND-CLIFFS INC NEW'}","{'185899101', '185899AH4', '185899901', '185899951'}",https://www.sec.gov/Archives/edgar/data/764065/000076406523000032/0000764065-23-000032.txt
